Item,Toxic Pollutant,Embodied Carbon (kg CO2e),Emitted Carbon (kg CO2e),Disposal Point,Health Impact,How to recycle
Glue,Formaldehyde,0.5,0.1,Landfill,Respiratory irritation,"Not recyclable, dispose of in regular trash if container is empty"
Paint,Lead,5,1,Landfill,Neurotoxicity,"Recycle empty metal cans, leftover paint to hazardous waste collection"
Plastic Bottles,BPA (Bisphenol A),0.2,0.05,Recycling,Endocrine disruption,"Recyclable in curbside bins, rinse and remove caps"
Nail Polish,Toluene,0.3,0.08,Household Hazardous Waste,Neurological effects,"Not recyclable, take to hazardous waste collection"
Non-Stick Pots,PFOA (Perfluorooctanoic acid),2,0.5,Recycling,Linked to cancer,Recycle with metal recycling if not damaged
Hand Soap,Triclosan,0.1,0.03,Sewage Treatment,Endocrine disruption,Recyclable plastic containers if empty and clean
Hand Sanitizer,Isopropyl Alcohol,0.05,0.02,Incineration,Skin and eye irritation,Recyclable plastic containers if empty and clean
Body Lotion,Parabens,0.3,0.07,Household Hazardous Waste,Hormone disruption,Recyclable plastic containers if empty and clean
Air Fresheners,Phthalates,0.15,0.04,Recycling,Respiratory issues,Recyclable if containers are empty and clean
Candles,Lead (in wicks),0.1,0.03,Household Hazardous Waste,Neurotoxicity,"Not recyclable, dispose of in regular trash"
Shampoo,Parabens,0.1,0.02,Sewage Treatment,Hormone disruption,Recyclable plastic containers if empty and clean
Hair Spray,Phthalates,0.2,0.04,Recycling,Respiratory issues,Recyclable if aerosol can is empty
Laundry Detergent,"1,4-Dioxane",0.3,0.06,Sewage Treatment,Potential carcinogen,Recyclable plastic containers if empty and clean
Air Fresheners,Formaldehyde,0.15,0.03,Recycling,Respiratory irritation,"Not recyclable, take to hazardous waste collection"
Weed Killer,Glyphosate,0.5,0.1,Landfill,Linked to cancer,"Not recyclable, take to hazardous waste collection"
Acrylic Paints,Cadmium,0.4,0.08,Household Hazardous Waste,Kidney damage,"Recycle empty metal cans, leftover paint to hazardous waste collection"
House Paint,Lead,2,0.4,Landfill,Neurotoxicity,Recycle cartridges through specific retailer programs
Printer Ink,Heavy Metals,0.25,0.05,Recycling,Environmental toxicity,"Not recyclable, take to hazardous waste collection"
Lawn Fertilizer,Nitrogen,1,0.2,Runoff,Eutrophication,Recyclable if container is empty and clean
Car Wax,Petroleum Distillates,0.3,0.07,Landfill,Respiratory problems,"Not recyclable, dispose of in regular trash"
Flea Collar,Tetrachlorvinphos,0.05,0.01,Household Hazardous Waste,Neurotoxin,Recyclable if container is empty and clean
Car Air Fresheners,Phthalates,0.1,0.02,Landfill,Respiratory issues,Take used oil to automotive stores or recycling centers
Motor Oil,Polycyclic Aromatic Hydrocarbons (PAHs),1,0.2,Recycling,Linked to cancer,Take to automotive stores or hazardous waste collection
Antifreeze,Ethylene Glycol,0.3,0.07,Recycling,Kidney damage,Take to automotive stores or hazardous waste collection
Brake Fluid,"Heavy Metals (Lead,  Cadmium)",0.2,0.05,Household Hazardous Waste,Neurotoxicity,"coming soon ..."
Car Wax,Petroleum Distillates,0.3,0.07,Landfill,Respiratory problems,"coming soon ..."
Tire Shine,Polycyclic Aromatic Hydrocarbons (PAHs),0.2,0.05,Recycling,Potential carcinogen,Tire shine products are not typically recyclable due to their chemical composition. It is best to use up the product completely and dispose of the container in the regular trash
Windshield Washer Fluid,Methanol,0.1,0.03,Recycling,Neurological effects,Recycle at automotive stores or recycling centers
Fuel Additives,MTBE (Methyl Tertiary Butyl Ether),0.1,0.03,Incineration,Groundwater contamination,"coming soon ..."
Car Batteries,Lead-Acid,5,1,Recycling,Lead exposure,Recyclable if container is empty and clean
Exhaust Emissions,Nitrogen Oxides (NOx),"coming soon ...","coming soon ...",Atmosphere,Respiratory problems,"Not recyclable, dispose of in regular trash"
Deodorant,Aluminum Compounds,0.1,0.02,Landfill,Hormone disruption,Recyclable plastic containers if empty and clean
Lipstick,Lead,0.05,0.01,Household Hazardous Waste,Neurotoxicity,Recyclable plastic containers if empty and clean
